Price,Day,Shared Room,Person Capacity,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km)
194.033698122935,Weekday,False,2,1,0,10,93,1,5.02296379808829,2.53938000259449
344.245776017622,Weekday,False,4,0,0,8,85,1,0.488389288828984,0.239403922834986
264.101422445106,Weekday,False,2,0,1,9,87,1,5.74831191515956,3.65162128879366
484.14688444684,Weekend,False,2,0,0,8,91,1,0.226415425494927,0.442660191544606
706.770088814942,Weekend,False,2,0,0,10,100,1,1.06146829518202,0.740698703519491
639.045766644014,Weekend,False,4,1,0,10,94,2,1.83762586039192,1.58422575596889
639.045766644014,Weekend,False,5,1,0,10,99,2,1.08880194735734,1.21252767968649
1020.08295643615,Weekend,False,4,0,0,9,96,2,1.38880257745903,0.126947748802452
1192.32301455253,Weekend,False,4,0,0,10,98,2,0.711001157114987,0.895748991215627
798.631453143674,Weekend,False,2,0,0,10,99,1,3.41827804385383,1.17432840045934
952.827314695475,Weekend,False,4,0,0,10,98,3,3.38583288152889,0.859183842754517
614.440044055961,Weekend,False,2,1,0,8,78,1,3.68112360039095,0.626129098575165
802.380896585663,Weekend,False,4,0,0,10,97,1,2.06068201611235,1.06176887998484
1069.29440161226,Weekend,False,4,0,0,10,98,3,3.76903848543726,1.5272098588701
265.507463735852,Weekend,False,2,0,0,10,97,1,4.77541772269842,0.991526605113038
328.310641389169,Weekend,False,3,0,0,8,85,2,5.90264748015051,2.09543976000958
1163.26482787711,Weekend,False,4,1,0,10,99,2,0.534692163486192,0.359049439233147
280.270897288684,Weekend,False,2,0,0,10,92,1,2.40745497725843,1.34436474924888
553.042907693389,Weekend,False,4,0,0,10,100,1,2.20754390108217,1.79846054511895
522.344339512104,Weekend,False,2,1,0,10,97,1,1.10115273890675,0.351577763405437
614.440044055961,Weekend,False,2,0,0,10,98,1,2.3789767341261,0.372753995050857
663.651489232067,Weekend,False,2,0,0,8,80,1,3.60356658312345,0.566839809905379
279.099196213062,Weekend,False,2,1,0,9,96,1,3.01862995584818,0.524689400576214
1044.68867902421,Weekend,False,2,0,0,10,100,1,0.763267329877964,0.739732057589998
384.786633234129,Weekend,False,2,1,0,9,93,1,4.13720368318966,2.84089325236984
589.834321467907,Weekend,False,2,0,0,9,96,1,0.906272891211289,0.695096213135287
405.877252595318,Weekend,False,2,1,0,10,89,1,3.63676907570084,0.440386141456535
2556.88608722143,Weekend,False,6,1,0,10,99,3,0.970911959980532,1.09602649055958
985.634944812879,Weekend,False,2,0,0,10,97,1,2.11962226724845,1.50861584102024
1214.11665455909,Weekend,False,4,0,0,9,93,0,1.93784533740331,1.57279636066898
305.813980737234,Weekend,False,4,0,0,10,96,1,3.71078695239775,0.221595386593071
297.377732992759,Weekend,False,2,0,0,9,87,1,4.71894857820955,0.732174509734529
553.042907693389,Weekend,False,4,1,0,10,99,1,4.4561352989426,0.412647747724043
1229.11442832705,Weekend,False,4,1,0,8,80,2,4.01853927966437,0.614457959737508
251.915731258641,Weekend,False,2,0,0,8,87,1,2.43040607156923,0.313177970361305
562.885196728611,Weekend,False,4,0,0,10,96,1,0.958111463519253,0.988574592132427
903.615869519368,Weekend,False,4,1,0,10,100,2,2.21902604210015,0.153451213445838
244.416844374663,Weekend,False,2,1,0,10,90,1,1.2588877555998,1.13476320006172
221.45150329248,Weekend,False,2,1,0,10,100,1,10.8534900602862,0.764033051247314
482.975183371218,Weekend,False,2,1,0,9,92,1,0.559306059213901,0.586551573344996
436.341480561479,Weekend,False,3,0,0,9,90,1,3.31273673041625,0.516871010644467
835.891547348441,Weekend,False,2,0,0,10,100,1,1.13304054855424,0.419941893133602
833.548145197197,Weekend,False,4,0,0,10,97,2,2.37916048139408,0.48221735626403
424.155789375015,Weekend,False,2,0,0,10,96,1,1.59090544094565,1.51677705157252
602.254352869496,Weekend,False,4,0,0,10,97,1,2.17844885725592,1.39719423420144
1425.96020903147,Weekend,False,4,0,0,9,95,2,0.693804219531778,0.610414283574483
445.949429381576,Weekend,False,2,0,0,9,89,1,1.04295043531911,1.10630698158373
267.850865887095,Weekend,False,2,1,0,9,95,1,2.47416345307349,1.49985384483337
356.431467204087,Weekend,False,2,1,0,10,100,0,2.49738973424883,0.567815874679664
1413.54017762988,Weekend,False,4,0,0,10,95,4,2.52859349463319,1.47267928819301
